date,year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
112013,2013,1,1,517,2,830,11,UA,N14228,1545,EWR,IAH,227,1400,5,17
112013,2013,1,1,533,4,850,20,UA,N24211,1714,LGA,IAH,227,1416,5,33
112013,2013,1,1,542,2,923,33,AA,N619AA,1141,JFK,MIA,160,1089,5,42
112013,2013,1,1,554,-6,812,-25,DL,N668DN,461,LGA,ATL,116,762,5,54
112013,2013,1,1,554,-4,740,12,UA,N39463,1696,EWR,ORD,150,719,5,54
112013,2013,1,1,558,-2,753,8,AA,N3ALAA,301,LGA,ORD,138,733,5,58
112013,2013,1,1,558,-2,924,7,UA,N29129,194,JFK,LAX,345,2475,5,58
112013,2013,1,1,558,-2,923,-14,UA,N53441,1124,EWR,SFO,361,2565,5,58
112013,2013,1,1,559,-1,941,31,AA,N3DUAA,707,LGA,DFW,257,1389,5,59
112013,2013,1,1,559,-1,854,-8,UA,N76515,1187,EWR,LAS,337,2227,5,59
112013,2013,1,1,602,-8,812,-8,DL,N971DL,1919,LGA,MSP,170,1020,6,2
112013,2013,1,1,606,-4,858,-12,AA,N633AA,1895,EWR,MIA,152,1085,6,6
112013,2013,1,1,606,-4,837,-8,DL,N3739P,1743,JFK,ATL,128,760,6,6
112013,2013,1,1,607,0,858,-17,UA,N53442,1077,EWR,MIA,157,1085,6,7
112013,2013,1,1,611,11,945,14,UA,N532UA,303,JFK,SFO,366,2586,6,11
112013,2013,1,1,615,0,833,-9,DL,N326NB,575,EWR,ATL,120,746,6,15
112013,2013,1,1,622,-8,1017,3,US,N807AW,245,EWR,PHX,342,2133,6,22
112013,2013,1,1,623,13,920,5,AA,N3EMAA,1837,LGA,MIA,153,1096,6,23
112013,2013,1,1,623,-4,933,1,UA,N459UA,496,LGA,IAH,229,1416,6,23
112013,2013,1,1,627,-3,1018,0,US,N535UW,27,JFK,PHX,330,2153,6,27
112013,2013,1,1,628,-2,1137,-3,AA,N3BAAA,413,JFK,SJU,192,1598,6,28
112013,2013,1,1,628,-2,1016,29,UA,N33289,1665,EWR,LAX,366,2454,6,28
112013,2013,1,1,629,-1,824,14,AA,N3CYAA,303,LGA,ORD,140,733,6,29
112013,2013,1,1,629,-1,824,-9,US,N426US,1019,EWR,CLT,91,529,6,29
112013,2013,1,1,635,0,1028,48,AA,N3GKAA,711,LGA,DFW,248,1389,6,35
112013,2013,1,1,643,-3,922,-18,UA,N497UA,556,EWR,PBI,146,1023,6,43
112013,2013,1,1,643,-2,837,-11,US,N178US,926,EWR,CLT,91,529,6,43
112013,2013,1,1,644,8,931,-9,UA,N75435,1701,EWR,FLL,151,1065,6,44
112013,2013,1,1,646,1,910,-6,UA,N569UA,883,LGA,DEN,243,1620,6,46
112013,2013,1,1,646,1,1023,-7,UA,N38727,1496,EWR,SNA,380,2434,6,46
112013,2013,1,1,653,-7,936,-33,DL,N327NW,1383,LGA,PBI,149,1035,6,53
112013,2013,1,1,655,0,1021,-9,DL,N3763D,1415,JFK,SLC,294,1990,6,55
112013,2013,1,1,655,-5,1037,-8,DL,N705TW,1865,JFK,SFO,362,2586,6,55
112013,2013,1,1,655,-5,1002,-18,DL,N997DL,2003,LGA,MIA,161,1096,6,55
112013,2013,1,1,656,-4,854,4,AA,N4WNAA,305,LGA,ORD,143,733,6,56
112013,2013,1,1,656,-3,949,-10,AA,N5FMAA,1815,JFK,MCO,142,944,6,56
112013,2013,1,1,656,-4,948,-23,UA,N24212,1115,EWR,TPA,156,997,6,56
112013,2013,1,1,657,-3,959,-14,DL,N318NB,1879,LGA,FLL,164,1076,6,57
112013,2013,1,1,658,-2,944,5,DL,N6703D,1547,LGA,ATL,126,762,6,58
112013,2013,1,1,659,-1,1008,-7,AA,N3EKAA,2279,LGA,MIA,159,1096,6,59
112013,2013,1,1,659,-6,907,-6,DL,N998DL,831,LGA,DTW,105,502,6,59
112013,2013,1,1,659,-1,959,-9,UA,N838UA,960,EWR,RSW,164,1068,6,59
112013,2013,1,1,701,1,1123,-31,UA,N77296,1203,EWR,SJU,188,1608,7,1
112013,2013,1,1,709,9,852,20,UA,N26226,1092,LGA,ORD,135,733,7,9
112013,2013,1,1,712,-3,1023,-12,AA,N3ETAA,825,JFK,FLL,159,1069,7,12
112013,2013,1,1,715,2,911,21,UA,N841UA,544,EWR,ORD,156,719,7,15
112013,2013,1,1,723,-2,1013,-4,UA,N514UA,962,EWR,PBI,153,1023,7,23
112013,2013,1,1,724,-6,1111,31,AA,N541AA,715,LGA,DFW,254,1389,7,24
112013,2013,1,1,724,-1,1020,-10,AS,N594AS,11,EWR,SEA,338,2402,7,24
112013,2013,1,1,725,-5,1052,12,AA,N4WRAA,2083,EWR,DFW,238,1372,7,25
112013,2013,1,1,727,-3,959,7,UA,N37462,1162,EWR,DEN,254,1605,7,27
112013,2013,1,1,728,-4,1041,3,UA,N488UA,473,LGA,IAH,238,1416,7,28
112013,2013,1,1,732,47,1011,30,UA,N37456,1111,EWR,MCO,145,937,7,32
112013,2013,1,1,739,-6,918,-12,AA,N4WPAA,309,LGA,ORD,137,733,7,39
112013,2013,1,1,739,0,1104,26,UA,N37408,1479,EWR,IAH,249,1400,7,39
112013,2013,1,1,743,13,1107,7,AA,N338AA,33,JFK,LAX,358,2475,7,43
112013,2013,1,1,743,13,1059,3,DL,N3760C,495,JFK,SEA,349,2422,7,43
112013,2013,1,1,745,0,1135,10,AA,N336AA,59,JFK,SFO,378,2586,7,45
112013,2013,1,1,746,0,1119,-10,UA,N24224,1668,EWR,SFO,373,2565,7,46
112013,2013,1,1,752,-3,1041,-18,DL,N325US,2263,LGA,MCO,140,950,7,52
112013,2013,1,1,752,2,1025,-4,UA,N511UA,477,LGA,DEN,249,1620,7,52
112013,2013,1,1,752,-7,955,-4,US,N543UW,1733,LGA,CLT,96,544,7,52
112013,2013,1,1,753,-2,1056,-14,AA,N3HMAA,2267,LGA,MIA,157,1096,7,53
112013,2013,1,1,754,-5,1039,-2,DL,N935DL,2047,LGA,ATL,126,762,7,54
112013,2013,1,1,759,-1,1057,-30,DL,N955DL,1843,JFK,MIA,158,1089,7,59
112013,2013,1,1,800,0,1022,8,DL,N317US,2119,LGA,MSP,171,1020,8,0
